OrderID,OrderDate,DeliveryDate,CustomerID,ProductID,LogisticsProvider,ShippingCost_EUR,IsReturned,ReturnReason
ORD-000050,2023-05-12,2023-05-13,daef63bdd6d2,PRD-0011,DPD,3.87,1,Gefällt nicht
ORD-000051,2023-04-21,2023-04-24,c8264ff97bdf,PRD-0049,DHL,4.09,1,Passt nicht
ORD-000052,2023-05-08,2023-05-11,a690f5f162c9,PRD-0016,Hermes,7.04,1,Zu spät geliefert
ORD-000053,2023-11-06,2023-11-09,59c230b0a5fb,PRD-0013,DPD,5.1,0,
ORD-000054,2023-10-06,2023-10-07,e7e66c1e9fe0,PRD-0042,DPD,6.94,0,
ORD-000055,2023-09-23,2023-10-02,81d199d7f773,PRD-0007,Hermes,5.73,1,Zu spät geliefert
ORD-000056,2023-12-15,2023-12-16,880786415f0c,PRD-0008,Hermes,7.45,0,
ORD-000057,2023-01-13,2023-01-16,cac190493a6d,PRD-0021,Hermes,5.21,0,
ORD-000058,2023-03-29,2023-03-30,0488ae9282bd,PRD-0036,Hermes,4.54,0,
ORD-000059,2023-11-29,2023-12-02,9078aa170458,PRD-0041,Hermes,5.26,0,
ORD-000060,2023-06-07,2023-06-09,bcece21f6f55,PRD-0019,DHL,4.05,1,Passt nicht
ORD-000061,2023-08-14,2023-08-15,2be4c3284cdd,PRD-0025,DPD,3.76,0,
ORD-000062,2023-07-15,2023-07-17,4491d799a963,PRD-0022,DPD,4.33,0,
ORD-000063,2023-11-12,2023-11-15,6638982ac981,PRD-0025,DPD,5.02,1,Falscher Artikel
ORD-000064,2023-08-04,2023-08-06,6dcf47721286,PRD-0023,Hermes,5.18,0,
ORD-000065,2023-11-11,2023-11-14,d91432e1f153,PRD-0048,DPD,5.45,0,
ORD-000066,2023-08-06,2023-08-14,11a94b5eb3d0,PRD-0028,Hermes,6.86,0,
ORD-000067,2023-04-21,2023-04-24,83917dff0d2a,PRD-0009,DPD,5.87,1,Zu spät geliefert
ORD-000068,2023-09-27,2023-09-30,0c686f54405d,PRD-0002,DHL,6.97,0,
ORD-000069,2023-11-01,2023-11-10,97498ce80361,PRD-0004,Hermes,6.54,1,Zu spät geliefert
ORD-000070,2023-03-22,2023-03-24,455e6f972248,PRD-0018,Hermes,6.5,0,
ORD-000071,2023-08-31,2023-09-03,1cc70d32846d,PRD-0023,DHL,6.52,1,Passt nicht
ORD-000072,2023-03-17,2023-03-18,4ec5d0d83271,PRD-0016,DHL,4.45,0,
ORD-000073,2023-10-21,2023-10-24,40ab188bca4c,PRD-0043,DHL,5.36,0,
ORD-000074,2023-10-29,2023-10-30,3e16d8c02f6b,PRD-0050,Hermes,6.37,0,
ORD-000075,2023-04-06,2023-04-07,c44512e2acc8,PRD-0011,Hermes,5.8,0,
ORD-000076,2023-03-16,2023-03-27,1097ce4c873e,PRD-0025,Hermes,6.01,0,
ORD-000077,2023-12-06,2023-12-09,9124aad31df2,PRD-0045,Hermes,7.44,0,
ORD-000078,2023-03-04,2023-03-07,a843c897601f,PRD-0003,Hermes,5.52,0,
ORD-000079,2023-04-25,2023-05-03,a7ee55779da2,PRD-0001,Hermes,6.81,0,
ORD-000080,2023-11-27,2023-11-28,4d0b23799439,PRD-0010,Hermes,4.58,0,
ORD-000081,2023-04-06,2023-04-08,bad59cbc1a8e,PRD-0035,Hermes,4.57,0,
ORD-000082,2023-06-03,2023-06-05,bfbae68bbec2,PRD-0016,DHL,4.48,0,
ORD-000083,2023-12-23,2023-12-26,1d38108d4d5d,PRD-0037,DPD,3.61,0,
ORD-000084,2023-03-05,2023-03-07,e9c2bd64e52f,PRD-0021,DHL,6.69,0,
ORD-000085,2023-08-18,2023-08-21,3ee8ae422892,PRD-0018,DPD,5.72,0,
ORD-000086,2023-06-15,2023-06-16,1cb1e517ce99,PRD-0013,DHL,5.45,0,
ORD-000087,2023-02-21,2023-02-23,607b5a84e9cc,PRD-0016,DPD,5.46,0,
ORD-000088,2023-01-03,2023-01-05,5d0536d12f17,PRD-0002,DHL,6.27,0,
ORD-000089,2023-11-12,2023-11-14,19c154538a8f,PRD-0043,DPD,5.62,0,
ORD-000090,2023-07-28,2023-07-30,21e550fd7f03,PRD-0048,DPD,5.31,0,
ORD-000091,2023-01-11,2023-01-12,19c154538a8f,PRD-0017,DHL,4.76,0,
ORD-000092,2023-05-15,2023-05-16,4d2adee0b81e,PRD-0035,DPD,6.45,0,
ORD-000093,2023-08-08,2023-08-11,b2cebf22574d,PRD-0047,DPD,7.42,0,
ORD-000094,2023-10-17,2023-10-24,c686141e554c,PRD-0013,Hermes,5.64,1,Zu spät geliefert
ORD-000095,2023-10-15,2023-10-18,db960f60908f,PRD-0003,DHL,6.05,1,Passt nicht
ORD-000096,2023-07-29,2023-07-30,78a2938173f2,PRD-0032,DHL,5.38,0,
ORD-000097,2023-09-08,2023-09-09,25185671a9c4,PRD-0022,DHL,3.96,1,Gefällt nicht
ORD-000098,2023-03-31,2023-04-01,88e7bdd912aa,PRD-0026,Hermes,4.11,0,
ORD-000099,2023-02-17,2023-02-18,b5153050464a,PRD-0037,Hermes,5.93,1,Gefällt nicht
ORD-000100,2023-02-19,2023-02-22,edd213b55d91,PRD-0040,DHL,7.13,0,
ORD-000101,2023-11-19,2023-11-21,c729e129bdce,PRD-0038,Hermes,7.29,1,Passt nicht
ORD-000102,2023-11-03,2023-11-05,04c68ecc66da,PRD-0041,DHL,4.13,0,
ORD-000103,2023-04-15,2023-04-16,919cb12d101f,PRD-0036,DHL,6.26,1,Zu spät geliefert
ORD-000104,2023-10-20,2023-10-21,9d45a3a0da7a,PRD-0019,DHL,6.31,1,Gefällt nicht
ORD-000105,2023-04-15,2023-04-16,ab6da4d8621c,PRD-0005,DPD,6.65,0,
ORD-000106,2023-02-05,2023-02-06,e45c7aa60886,PRD-0038,DPD,5.68,0,
ORD-000107,2023-03-04,2023-03-10,204dcf7a5e26,PRD-0010,Hermes,5.88,0,
ORD-000108,2023-12-08,2023-12-16,618cc57afb13,PRD-0037,Hermes,7.27,0,
ORD-000109,2023-08-14,2023-08-20,81eab3379b56,PRD-0035,Hermes,6.44,0,
ORD-000110,2023-01-23,2023-01-24,dde2a1a9d5df,PRD-0017,DHL,6.2,0,
ORD-000111,2023-06-22,2023-06-23,89771a379f84,PRD-0037,DPD,6.19,0,
ORD-000112,2023-10-30,2023-10-31,1f609003020d,PRD-0037,DHL,6.11,0,
ORD-000113,2023-05-10,2023-05-13,a6a4c4bba062,PRD-0018,DHL,6.76,0,
ORD-000114,2023-10-19,2023-10-21,66d83e310e09,PRD-0006,Hermes,3.92,0,
ORD-000115,2023-08-21,2023-08-24,fd0ec81b021e,PRD-0022,Hermes,5.1,0,
ORD-000116,2023-06-02,2023-06-04,49067f21850d,PRD-0036,DHL,4.79,1,Beschädigt
ORD-000117,2023-05-02,2023-05-05,ce14e0367a4a,PRD-0050,Hermes,5.15,1,Gefällt nicht
ORD-000118,2023-12-19,2023-12-22,32a0146486a6,PRD-0034,Hermes,6.54,0,
ORD-000119,2023-12-06,2023-12-07,0b4881f54699,PRD-0018,DPD,5.25,0,
ORD-000120,2023-08-26,2023-08-27,3cb282702fbe,PRD-0032,DHL,5.94,0,
ORD-000121,2023-08-22,2023-08-24,86f6d149b736,PRD-0046,DHL,5.71,0,
ORD-000122,2023-08-27,2023-08-29,93746af9a172,PRD-0015,DHL,6.09,0,
ORD-000123,2023-02-22,2023-02-24,50aba4db4830,PRD-0032,DPD,4.59,0,
ORD-000124,2023-01-22,2023-01-23,79204e328122,PRD-0031,Hermes,7.19,1,Passt nicht
ORD-000125,2023-02-15,2023-02-16,20e4c8f9f7e6,PRD-0048,DHL,6.66,0,
ORD-000126,2023-02-25,2023-02-27,72173b5230f1,PRD-0022,DPD,4.63,0,
ORD-000127,2023-04-05,2023-04-08,9d5f179198bf,PRD-0038,DPD,4.09,0,
ORD-000128,2023-07-12,2023-07-14,a0fba1a80fbc,PRD-0031,Hermes,5.32,0,
ORD-000129,2023-06-05,2023-06-06,cd294a56e965,PRD-0013,DPD,4.43,0,
ORD-000130,2023-03-18,2023-03-20,831786676e1c,PRD-0027,DHL,6.32,0,
ORD-000131,2023-01-30,2023-02-02,b5153050464a,PRD-0025,Hermes,4.11,0,
ORD-000132,2023-07-06,2023-07-09,e11ba68c2897,PRD-0003,DHL,4.83,0,
ORD-000133,2023-06-28,2023-07-01,1086241e2fd7,PRD-0029,DHL,3.56,0,
ORD-000134,2023-04-30,2023-05-01,4fbccc16f45a,PRD-0027,DPD,4.85,1,Beschädigt
ORD-000135,2023-08-17,2023-08-18,5f9c0ffcc92e,PRD-0026,DPD,6.91,0,
ORD-000136,2023-05-25,2023-05-27,e5cfa1b88670,PRD-0035,Hermes,5.45,0,
ORD-000137,2023-04-18,2023-04-19,39248ddf5d80,PRD-0003,DPD,7.49,1,Gefällt nicht
ORD-000138,2023-03-04,2023-03-05,7625e625a334,PRD-0006,Hermes,3.9,0,
ORD-000139,2023-01-26,2023-01-31,54ff55540509,PRD-0045,Hermes,5.0,0,
ORD-000140,2023-12-19,2023-12-21,d517469939b6,PRD-0016,DPD,6.67,0,
ORD-000141,2023-01-06,2023-01-09,d7e301b5cd6f,PRD-0012,DHL,5.98,0,
ORD-000142,2023-05-30,2023-05-31,1aa279e94dde,PRD-0032,DPD,6.05,0,
ORD-000143,2023-03-12,2023-03-13,e122976f0144,PRD-0017,DPD,5.36,0,
ORD-000144,2023-08-20,2023-08-21,3760c4b579a5,PRD-0044,DPD,7.45,1,Beschädigt
ORD-000145,2023-10-28,2023-11-06,c957b337cc41,PRD-0041,Hermes,5.04,1,Zu spät geliefert
ORD-000146,2023-12-03,2023-12-05,5fa3180aa5f5,PRD-0007,DHL,5.8,0,
ORD-000147,2023-04-15,2023-04-16,a345a4ce9ea4,PRD-0045,Hermes,4.6,0,
ORD-000148,2023-09-06,2023-09-07,c0186f5bc743,PRD-0044,DPD,6.48,0,
ORD-000149,2023-02-06,2023-02-09,c686141e554c,PRD-0019,DHL,4.38,0,
ORD-000150,2023-08-08,2023-08-11,723a77d2c86b,PRD-0040,Hermes,6.22,0,
ORD-000151,2023-03-20,2023-03-23,500081b57226,PRD-0041,DHL,4.74,0,
ORD-000152,2023-12-17,2023-12-19,25185671a9c4,PRD-0003,DPD,3.86,0,
ORD-000153,2023-06-24,2023-06-26,490609fe3e65,PRD-0021,DPD,4.03,0,
ORD-000154,2023-05-13,2023-05-16,683091b0c9f2,PRD-0024,DPD,6.82,0,
ORD-000155,2023-08-30,2023-09-02,afe6017571c8,PRD-0031,Hermes,5.37,0,
ORD-000156,2023-11-06,2023-11-09,3e4e37d748aa,PRD-0010,DHL,7.42,0,
ORD-000157,2023-02-07,2023-02-08,afeee7d6a9ec,PRD-0036,Hermes,3.99,1,Falscher Artikel
ORD-000158,2023-08-16,2023-08-19,8d7552eb62a6,PRD-0044,DPD,5.02,0,
ORD-000159,2023-02-21,2023-02-24,cdf50ee19459,PRD-0024,DHL,3.6,0,
ORD-000160,2023-03-12,2023-03-19,f073c64a2004,PRD-0036,Hermes,5.36,0,
ORD-000161,2023-06-03,2023-06-05,8807a57da3fe,PRD-0020,DPD,7.29,1,Passt nicht
ORD-000162,2023-06-23,2023-06-24,9e4cc83219db,PRD-0032,DHL,5.65,0,
ORD-000163,2023-01-30,2023-02-02,b9a8cd3edce6,PRD-0030,Hermes,5.66,0,
ORD-000164,2023-10-01,2023-10-02,512edac15cb6,PRD-0048,DPD,6.12,0,
ORD-000165,2023-03-30,2023-04-01,5c1b6063f020,PRD-0032,DPD,4.62,0,
ORD-000166,2023-02-08,2023-02-10,872e17e7a5a1,PRD-0024,DHL,4.44,0,
ORD-000167,2023-07-07,2023-07-09,8de816b8e242,PRD-0007,DPD,7.41,0,
ORD-000168,2023-05-25,2023-05-31,79eb57c262b2,PRD-0004,Hermes,6.8,0,
ORD-000169,2023-04-01,2023-04-04,3817ec543c32,PRD-0043,DHL,7.38,0,
ORD-000170,2023-10-08,2023-10-09,f878dd62e343,PRD-0022,DHL,4.32,0,
ORD-000171,2023-06-05,2023-06-06,59b9071f19ac,PRD-0049,DPD,6.75,0,
ORD-000172,2023-02-19,2023-02-22,10f3d78de149,PRD-0022,DHL,7.45,1,Passt nicht
ORD-000173,2023-06-14,2023-06-15,c7607c20e1b6,PRD-0017,DHL,3.6,0,
ORD-000174,2023-11-29,2023-12-02,63f37926227c,PRD-0023,DHL,4.2,0,
ORD-000175,2023-04-17,2023-04-19,1cc70d32846d,PRD-0009,DPD,6.48,0,
ORD-000176,2023-07-03,2023-07-06,c061d6ecb41c,PRD-0029,Hermes,4.39,0,
ORD-000177,2023-05-04,2023-05-07,d649fbca3585,PRD-0003,DPD,5.33,0,
ORD-000178,2023-02-28,2023-03-02,e11ba68c2897,PRD-0002,DHL,5.21,0,
ORD-000179,2023-09-17,2023-09-19,6adad2b3a3cf,PRD-0032,DPD,4.79,1,Passt nicht
ORD-000180,2023-11-28,2023-11-30,e7e66c1e9fe0,PRD-0005,DHL,5.84,0,
ORD-000181,2023-07-17,2023-07-20,e04a43e94370,PRD-0021,Hermes,5.92,0,
ORD-000182,2023-09-02,2023-09-05,26d16a151448,PRD-0045,DHL,6.58,0,
ORD-000183,2023-12-23,2023-12-25,8bf6d58effba,PRD-0014,Hermes,6.81,0,
ORD-000184,2023-06-04,2023-06-05,e70e2b8716ad,PRD-0027,DPD,4.75,0,
ORD-000185,2023-04-08,2023-04-11,44b2ea3c07ba,PRD-0024,DHL,3.77,0,
ORD-000186,2023-05-29,2023-05-31,c440be2dc911,PRD-0006,DHL,6.75,1,Beschädigt
ORD-000187,2023-02-09,2023-02-12,bcea4943f5ed,PRD-0004,DPD,6.18,0,
ORD-000188,2023-12-15,2023-12-17,fd7902f1976a,PRD-0023,DPD,6.38,0,
ORD-000189,2023-12-18,2023-12-20,f62642695f24,PRD-0019,DPD,5.81,0,
ORD-000190,2023-02-25,2023-02-27,ff8581d6b50d,PRD-0010,DPD,3.93,0,
ORD-000191,2023-09-30,2023-10-01,f0ae84fe65c4,PRD-0036,Hermes,6.73,0,
ORD-000192,2023-01-10,2023-01-13,f0ae84fe65c4,PRD-0036,DPD,5.73,0,
ORD-000193,2023-12-12,2023-12-14,f6cc1089a080,PRD-0043,DPD,6.31,1,Gefällt nicht
ORD-000194,2023-08-30,2023-09-05,1da2036bf2d8,PRD-0022,Hermes,5.1,0,
ORD-000195,2023-06-15,2023-06-16,83aebe395a90,PRD-0048,DPD,4.36,1,Falscher Artikel
ORD-000196,2023-02-16,2023-02-23,f8a89c4399b2,PRD-0030,Hermes,5.77,0,
ORD-000197,2023-06-24,2023-06-25,9613928529a8,PRD-0004,DHL,3.7,0,
ORD-000198,2023-11-11,2023-11-14,10d283c4b3f1,PRD-0018,Hermes,5.16,0,
ORD-000199,2023-10-25,2023-10-26,a8023688433d,PRD-0049,DPD,4.63,1,Passt nicht
ORD-000200,2023-03-30,2023-04-02,4c88a13112dc,PRD-0038,Hermes,7.44,1,Zu spät geliefert
ORD-000201,2023-01-11,2023-01-13,7769f1239eef,PRD-0001,DHL,6.57,0,
ORD-000202,2023-01-02,2023-01-11,9786d6defc23,PRD-0017,Hermes,4.2,0,
ORD-000203,2023-08-10,2023-08-11,6323534375f5,PRD-0035,DPD,6.83,0,
ORD-000204,2023-08-19,2023-08-21,ca7e4c1f97fd,PRD-0023,DHL,3.67,0,
ORD-000205,2023-03-03,2023-03-05,6bbc7f2133e2,PRD-0030,DHL,5.79,0,
ORD-000206,2023-09-14,2023-09-20,2f94e3143891,PRD-0041,Hermes,4.19,0,
ORD-000207,2023-10-16,2023-10-19,c0aa67bccdba,PRD-0040,Hermes,4.47,1,Passt nicht
ORD-000208,2023-12-08,2023-12-09,663295ff7da6,PRD-0026,DPD,4.74,0,
ORD-000209,2023-07-27,2023-08-01,f02966fbdc92,PRD-0015,Hermes,4.28,0,
ORD-000210,2023-12-17,2023-12-20,831786676e1c,PRD-0023,Hermes,4.09,0,
ORD-000211,2023-04-15,2023-04-21,7299927759bf,PRD-0010,Hermes,6.12,0,
ORD-000212,2023-05-03,2023-05-05,df2618f77ad2,PRD-0050,DPD,5.75,0,
ORD-000213,2023-12-06,2023-12-09,b21c28b39f88,PRD-0029,DPD,7.45,0,
ORD-000214,2023-02-23,2023-02-24,d145218f85d8,PRD-0041,Hermes,6.03,0,
ORD-000215,2023-04-16,2023-04-17,c75dc8ce2d98,PRD-0018,DPD,3.8,0,
ORD-000216,2023-01-24,2023-01-25,c3a3122f53f0,PRD-0029,DHL,4.65,0,
ORD-000217,2023-03-16,2023-03-19,7515db680360,PRD-0006,DPD,5.35,0,
ORD-000218,2023-03-06,2023-03-08,4852f5188b47,PRD-0048,DHL,5.79,0,
ORD-000219,2023-10-01,2023-10-03,32a0146486a6,PRD-0021,DPD,7.33,0,
ORD-000220,2023-02-11,2023-02-19,9582264a8797,PRD-0007,Hermes,6.33,1,Zu spät geliefert
ORD-000221,2023-01-25,2023-01-28,d7c8a8f805ce,PRD-0029,DPD,4.96,0,
ORD-000222,2023-05-18,2023-05-20,880786415f0c,PRD-0019,Hermes,3.71,0,
ORD-000223,2023-09-26,2023-10-05,e05e68fad718,PRD-0042,Hermes,4.64,0,
ORD-000224,2023-03-31,2023-04-01,0963f40945fa,PRD-0043,DPD,7.17,1,Passt nicht
ORD-000225,2023-12-01,2023-12-04,307e6b240c8c,PRD-0042,DPD,5.88,0,
ORD-000226,2023-05-09,2023-05-18,dfc49371921b,PRD-0006,Hermes,6.18,0,
ORD-000227,2023-05-18,2023-05-21,94bcba74315e,PRD-0048,DPD,5.53,1,Zu spät geliefert
ORD-000228,2023-01-04,2023-01-05,24c1e8e62f86,PRD-0024,Hermes,6.56,0,
ORD-000229,2023-05-04,2023-05-05,d45ab1001715,PRD-0015,DHL,5.53,1,Passt nicht
ORD-000230,2023-02-06,2023-02-07,683091b0c9f2,PRD-0048,DPD,7.01,0,
ORD-000231,2023-04-16,2023-04-18,4f4523c8395a,PRD-0009,DPD,4.22,0,
ORD-000232,2023-03-23,2023-03-24,5f9c0ffcc92e,PRD-0050,DPD,3.67,0,
ORD-000233,2023-10-07,2023-10-08,17fb39050eb0,PRD-0044,DPD,5.94,0,
ORD-000234,2023-10-27,2023-10-28,78a2938173f2,PRD-0048,Hermes,6.73,0,
ORD-000235,2023-02-24,2023-02-27,fccc234064ac,PRD-0013,Hermes,5.35,0,
ORD-000236,2023-02-08,2023-02-11,695df20c0897,PRD-0050,Hermes,6.77,0,
ORD-000237,2023-08-14,2023-08-16,5caef4462f84,PRD-0039,DHL,7.0,1,Gefällt nicht
ORD-000238,2023-09-06,2023-09-09,4852f5188b47,PRD-0007,DPD,4.64,0,
ORD-000239,2023-02-10,2023-02-12,17e80f1d2699,PRD-0011,Hermes,3.87,1,Gefällt nicht
ORD-000240,2023-04-27,2023-04-29,f6a34b6ae058,PRD-0015,Hermes,5.09,0,
ORD-000241,2023-04-03,2023-04-08,4f648875299c,PRD-0016,Hermes,3.9,0,
ORD-000242,2023-09-16,2023-09-23,9d62b602ed33,PRD-0042,Hermes,5.39,0,
ORD-000243,2023-11-23,2023-11-25,c440be2dc911,PRD-0009,DPD,3.52,0,
ORD-000244,2023-01-20,2023-01-21,fa66a4abdf6e,PRD-0002,Hermes,6.41,0,
ORD-000245,2023-07-20,2023-07-22,2bf1b69dc216,PRD-0028,DHL,3.99,0,
ORD-000246,2023-11-27,2023-11-30,39e26850347f,PRD-0027,DPD,3.94,0,
ORD-000247,2023-06-21,2023-06-24,f2344e0a11b7,PRD-0032,DPD,5.8,1,Falscher Artikel
ORD-000248,2023-07-08,2023-07-16,27a4a8527b3f,PRD-0010,Hermes,5.17,1,Zu spät geliefert
ORD-000249,2023-12-23,2023-12-26,ab21903e68c6,PRD-0043,DHL,3.77,0,
ORD-000250,2023-08-18,2023-08-21,687ee6fc678e,PRD-0035,DPD,5.06,0,
ORD-000251,2023-06-29,2023-07-01,9d45a3a0da7a,PRD-0003,DPD,4.51,0,
ORD-000252,2023-09-05,2023-09-07,db6dedca2e05,PRD-0023,DHL,6.13,0,
ORD-000253,2023-02-24,2023-02-27,17591257966a,PRD-0050,DPD,4.03,0,
ORD-000254,2023-04-12,2023-04-22,c2df022e67a3,PRD-0035,Hermes,5.41,0,
ORD-000255,2023-07-01,2023-07-04,97498ce80361,PRD-0009,DHL,5.33,0,
ORD-000256,2023-08-24,2023-08-25,97d6492e940c,PRD-0013,DHL,4.76,0,
ORD-000257,2023-02-19,2023-02-22,307e6b240c8c,PRD-0033,Hermes,4.64,1,Passt nicht
ORD-000258,2023-05-26,2023-05-29,87d8cf076baa,PRD-0050,DHL,6.7,1,Passt nicht
ORD-000259,2023-09-26,2023-09-28,be656dd918f8,PRD-0026,DPD,5.05,0,
ORD-000260,2023-10-15,2023-10-18,ff5ac746bfa2,PRD-0012,Hermes,5.58,0,
ORD-000261,2023-04-08,2023-04-10,5caef4462f84,PRD-0006,DPD,7.48,1,Falscher Artikel
ORD-000262,2023-11-30,2023-12-08,017f7d9aa46c,PRD-0035,Hermes,4.73,0,
ORD-000263,2023-02-20,2023-02-21,2493564c4baa,PRD-0046,Hermes,3.67,0,
ORD-000264,2023-03-01,2023-03-03,7a3caf8d72f9,PRD-0023,DPD,7.42,0,
ORD-000265,2023-02-06,2023-02-09,c0aa67bccdba,PRD-0004,DHL,4.95,0,
ORD-000266,2023-07-14,2023-07-15,5caef4462f84,PRD-0048,DPD,4.07,0,
ORD-000267,2023-07-31,2023-08-06,5dd7c75864a7,PRD-0044,Hermes,4.97,0,
ORD-000268,2023-04-02,2023-04-05,57fe51e4f453,PRD-0037,DHL,7.3,1,Gefällt nicht
ORD-000269,2023-10-03,2023-10-06,8c24a506c11e,PRD-0029,DHL,5.09,1,Gefällt nicht
ORD-000270,2023-11-14,2023-11-15,c1a8ccf1ada0,PRD-0018,DHL,5.5,1,Gefällt nicht
ORD-000271,2023-04-09,2023-04-11,294350c9a8bc,PRD-0036,DHL,6.32,0,
ORD-000272,2023-09-02,2023-09-05,e9998eed1eb2,PRD-0040,Hermes,3.99,0,
ORD-000273,2023-11-06,2023-11-07,b5a6aad762bb,PRD-0005,Hermes,3.85,0,
ORD-000274,2023-09-20,2023-09-22,d052d3dc4806,PRD-0021,DPD,5.7,0,
ORD-000275,2023-05-05,2023-05-08,4086cd585ed6,PRD-0020,DHL,6.3,0,
ORD-000276,2023-09-30,2023-10-01,40c2ea9999c9,PRD-0024,DPD,4.3,0,
ORD-000277,2023-12-28,2024-01-06,a8ac0b2e1350,PRD-0016,Hermes,6.71,0,
ORD-000278,2023-07-29,2023-07-30,217fb6888b3e,PRD-0009,DPD,7.5,1,Zu spät geliefert
